arm,task,best_r2_mean,best_r2_std,steps_to_thr_mean,dead_frac_mean
l2init,50,0.4637715694263868,0.14819740636054052,29.0,0.0
l2init,51,0.37370255288994336,0.12541077442190393,22.5,0.0
l2init,52,0.3582051196432434,0.06864656410502896,36.0,0.0
l2init,53,0.5405115066780825,0.17538333558332694,21.25,0.0
l2init,54,0.37710708707074053,0.14379481459421173,26.5,0.0
l2init,55,0.3646317905540719,0.13007568637762618,34.0,0.0
l2init,56,0.4015523537210954,0.11872835674095025,28.5,0.0
l2init,57,0.4940098536700868,0.17249096382555798,25.0,0.0
l2init,58,0.42206721788363605,0.10588379895149545,31.333333333333332,0.0
l2init,59,0.5052157724140818,0.18538182329982014,21.666666666666668,0.0
l2init,60,0.39875484804230177,0.17379167072261295,23.5,0.0
l2init,61,0.3640167231305081,0.07319110696192539,34.0,0.0
l2init,62,0.30959297267169655,0.0440853894385013,,0.0
l2init,63,0.5651644220370993,0.1553714470973145,26.0,0.0
l2init,64,0.3481516771188599,0.13302726793539796,26.0,0.0
l2init,65,0.4029862075227391,0.1013480980592818,26.5,0.0
l2init,66,0.40692020113773825,0.17006580586936712,17.5,0.0
l2init,67,0.5024008949162381,0.15713818030840349,21.75,0.0
l2init,68,0.45209292119621375,0.1998388270391542,21.666666666666668,0.0
l2init,69,0.44761514605107244,0.17815720628036705,20.0,0.0
l2init,70,0.553754226079597,0.1826195513831081,18.0,0.0
l2init,71,0.4450606272794381,0.2124236384575134,17.0,0.0
l2init,72,0.3482751712187677,0.10142655606249826,26.0,0.0
l2init,73,0.46850321580344284,0.15866701569766853,23.0,0.0
l2init,74,0.3705567289827627,0.1848857373613289,26.0,0.0
l2init,75,0.4202198512558426,0.16008278894922506,24.0,0.0
l2init,76,0.3690951614110096,0.15982352058214577,21.0,0.0
l2init,77,0.35577393656377226,0.1223322932155901,31.5,0.0
l2init,78,0.3775708356762261,0.06183311043349121,36.0,0.0
l2init,79,0.4734107169390766,0.131234616114696,29.5,0.0
l2init,80,0.48549606769792003,0.131359589536429,29.4,0.0
l2init,81,0.41863662499227766,0.11137886012520852,32.333333333333336,0.0
l2init,82,0.3748487693565732,0.0603478703496784,31.5,0.0
l2init,83,0.5416322356096835,0.11558575499278972,29.8,0.0
l2init,84,0.34756807362422104,0.09714020773715552,28.0,0.0
l2init,85,0.4936900827755098,0.16767516938347032,23.0,0.0
l2init,86,0.4817682598445545,0.13797997519482927,30.5,0.0
l2init,87,0.4615632088948393,0.15419945699524829,28.75,0.0
l2init,88,0.4975429386146835,0.17351579685549162,31.0,0.0
l2init,89,0.4712836354899615,0.16927606565542744,27.666666666666668,0.0
l2init,90,0.3979944935944797,0.16373736478486578,29.333333333333332,0.0
l2init,91,0.524677806862374,0.17327974010379701,25.25,0.0
l2init,92,0.5145061443687728,0.12384142344174338,31.2,0.0
l2init,93,0.6205591483818541,0.15700982071690106,19.8,0.0
l2init,94,0.44719970885906263,0.11904352025287496,25.333333333333332,0.0
l2init,95,0.5737983053249677,0.0933114976727406,23.666666666666668,0.0
l2init,96,0.4908113069812703,0.20769069423365033,16.666666666666668,0.0
l2init,97,0.42922930576329654,0.1339970820299681,24.0,0.0
l2init,98,0.44969576392870264,0.1784434325770224,13.0,0.0
l2init,99,0.38857705251768904,0.17908237260497203,23.0,0.0
l2init,100,0.3494134814931584,0.08981599016224204,28.0,0.0
